"restaurant_name","cuisine_type","cost_of_the_order","rating","day_of_wk","customer_num_order","rst_num_order","customer_neighbourhood","customer_region","complete_time","rst_num_order_binned","Prediction (rating)"
"RedFarm Hudson","Chinese",22.75,3.9,"Sun",1,55,"Chelsea","West Side",61,"Mid",3.9915850435001117
"Han Dynasty","Chinese",13.34,3.5,"Sat",4,46,"Washington Heights","Upper Manhattan",61,"Mid",3.4646365180096232
"Shake Shack","American",9.75,3.4,"Sat",3,219,"Hell's Kitchen","West Side",58,"Very High",3.2828378229601096
"Cafeteria","American",6.69,3.2,"Thu",6,9,"Harlem","Upper Manhattan",53,"Low",3.22340711495896
"Shake Shack","American",4.75,3.1,"Mon",1,219,"Kips Bay","East Side",63,"Very High",3.477383630784166
"Chipotle Mexican Grill","Mexican",12.56,3.1,"Sun",1,23,"East Village","South Manhattan",40,"Mid",3.146068060264928
"The Meatball Shop","Italian",21.2,3.7,"Sun",2,132,"Chelsea","West Side",50,"Very High",3.6887085774406794
"Tortaria","Mexican",19.31,3.7,"Sat",1,4,"Lower East Side","South Manhattan",55,"Low",3.6479707098951923
"Nobu Next Door","Japanese",16.3,3.5,"Tue",5,42,"Harlem","Upper Manhattan",44,"Mid",3.2980292678950835
"Otto Enoteca Pizzeria","Italian",13.05,4.3,"Wed",2,12,"West Village","South Manhattan",60,"Low",3.8968668767181684
"TAO","Japanese",25.27,3,"Mon",3,49,"Midtown","Midtown",48,"Mid",3.692323279575469
"Hill Country Fried Chicken","Southern",14.79,3.7,"Sun",2,14,"Hell's Kitchen","West Side",50,"Low",3.611049650381884
"Shake Shack","American",5.72,3.8,"Wed",1,219,"East Village","South Manhattan",55,"Very High",3.5177110677821197
"Chote Nawab","Indian",16.15,3.6,"Sat",7,1,"Harlem","Upper Manhattan",54,"Low",3.2472307860350567
"RedFarm Hudson","Chinese",33.03,4.2,"Sat",2,55,"West Village","South Manhattan",48,"Mid",4.098790005654895
"Mission Cantina","Mexican",16.2,3.5,"Sat",2,5,"Gramercy","East Side",49,"Low",3.584925374392458
"Xi'an Famous Foods","Chinese",9.22,3.8,"Thu",3,9,"West Village","South Manhattan",63,"Low",3.7516401370897343
"Blue Ribbon Fried Chicken","American",16.39,3.3,"Sun",3,96,"Hell's Kitchen","West Side",49,"High",3.373223235776091
"Blue Ribbon Fried Chicken","American",12.18,3.1,"Fri",2,96,"Hell's Kitchen","West Side",56,"High",3.495513795529702
"Shake Shack","American",24.2,3.5,"Fri",1,219,"Washington Heights","Upper Manhattan",58,"Very High",3.770836180947543
"Sarabeth's East","American",17.03,3.8,"Sat",1,7,"Gramercy","East Side",56,"Low",3.7703923954249343
"Rubirosa","Italian",21.83,4,"Sat",1,37,"Chelsea","West Side",57,"Mid",3.8985815999884834
"Blue Ribbon Fried Chicken","American",31.29,4.6,"Wed",3,96,"East Village","South Manhattan",55,"High",4.355593701935935
"Blue Ribbon Sushi","Japanese",11.83,3.4,"Sat",4,119,"Upper East Side","East Side",47,"High",3.260546760111643
"Five Guys Burgers and Fries","American",24.3,3.5,"Sun",9,29,"Financial District","South Manhattan",50,"Mid",3.5105021297945953
"The Meatball Shop","Italian",22.26,3.8,"Sun",2,132,"Chelsea","West Side",53,"Very High",3.759533741935743
"TAO","Japanese",20.47,3.4,"Sun",1,49,"Harlem","Upper Manhattan",56,"Mid",3.4066883643625188
"Blue Ribbon Sushi","Japanese",12.18,3.2,"Sat",2,119,"Midtown","Midtown",53,"High",3.185320612993394
"Joe’s Shanghai","Chinese",15.81,3.3,"Sun",7,4,"West Village","South Manhattan",46,"Low",3.278658965593288
"Otto Enoteca Pizzeria","Italian",22.36,4,"Sat",2,12,"West Village","South Manhattan",53,"Low",3.7496677876893107
"Blue Ribbon Sushi","Japanese",8.68,3.4,"Sat",1,119,"Upper West Side","West Side",61,"High",3.3243649454359496
"Shake Shack","American",21.83,3.5,"Sat",5,219,"Upper West Side","West Side",45,"Very High",3.4842257935042085
"Bareburger","American",16.3,3.8,"Tue",2,27,"Upper West Side","West Side",48,"Mid",3.6895125395354125
"The Odeon","American",12.9,3.3,"Fri",1,3,"Lower East Side","South Manhattan",59,"Low",3.567156082082606
"Parm","Italian",29.15,3.6,"Mon",1,68,"Upper West Side","West Side",50,"High",4.166653073320594
"Pongsri Thai","Thai",13.05,4.2,"Wed",1,2,"Midtown","Midtown",55,"Low",3.9293759200059104
"Yama Japanese Restaurant","Japanese",22.36,3.6,"Sat",2,18,"Upper West Side","West Side",46,"Low",3.5749616485588462
"Shake Shack","American",31.29,4.1,"Thu",3,219,"Harlem","Upper Manhattan",58,"Very High",4.117710595710767
"Blue Ribbon Fried Chicken","American",7.86,3.2,"Thu",7,96,"Washington Heights","Upper Manhattan",55,"High",3.2962989278367427
"Yama Japanese Restaurant","Japanese",16.1,3.5,"Sun",1,18,"Hell's Kitchen","West Side",60,"Low",3.4741297342106696
"Momoya","Japanese",16.98,3.2,"Fri",3,30,"Harlem","Upper Manhattan",63,"Mid",3.4517778190236386
"Osteria Morini","Italian",12.95,3.4,"Sat",7,14,"East Harlem","Upper Manhattan",54,"Low",3.202738357918688
"Blue Ribbon Fried Chicken","American",11.69,3.1,"Sun",1,96,"Chelsea","West Side",45,"High",3.2909120166264776
"The Meatball Shop","American",12.32,3.1,"Sun",1,132,"Harlem","Upper Manhattan",50,"Very High",3.121991452367562
"Balthazar Boulangerie","French",12.13,3.2,"Sun",2,10,"Upper East Side","East Side",49,"Low",3.6344468705151245
"Sushi of Gari","Japanese",12.18,2.6,"Mon",4,16,"Theater District","Midtown",49,"Low",3.323384506693637
"Parm","Italian",14.99,3.8,"Sat",1,68,"Upper West Side","West Side",58,"High",3.647187743290138
"The Meatball Shop","Italian",6.74,3.5,"Sat",1,132,"Upper West Side","West Side",56,"Very High",3.3418098272096337
"Cafe China","Chinese",24.3,3.6,"Sun",2,6,"Hell's Kitchen","West Side",43,"Low",3.7219599055753507
"Shake Shack","American",10.38,3.5,"Sat",1,219,"NoHo","South Manhattan",53,"Very High",3.3333895274805765
"RedFarm Broadway","Chinese",6.79,3.5,"Sat",2,59,"Chelsea","West Side",61,"Mid",3.4974043311802103
"RedFarm Hudson","Chinese",25.27,4.1,"Sat",3,55,"West Village","South Manhattan",62,"Mid",3.98108948345802
"Otto Enoteca Pizzeria","Italian",14.99,3.3,"Sun",2,12,"Midtown","Midtown",50,"Low",3.343165480089607
"RedFarm Hudson","Chinese",29.05,4.1,"Sat",3,55,"East Village","South Manhattan",50,"Mid",3.9961027764843244
"Blue Ribbon Sushi Bar & Grill","Japanese",9.65,3,"Sun",6,44,"Upper West Side","West Side",51,"Mid",3.0270835394258406
"The Meatball Shop","Italian",29.2,4,"Sun",1,132,"Chelsea","West Side",55,"Very High",4.041510670075657
"Nobu Next Door","Japanese",5.77,2.7,"Fri",2,42,"Harlem","Upper Manhattan",53,"Mid",2.9978692272190974
"Boqueria","Spanish",12.13,3,"Sun",3,9,"East Village","South Manhattan",50,"Low",3.5210920853457965
"Bareburger","American",12.08,3.4,"Sun",2,27,"Upper East Side","East Side",49,"Mid",3.35328053251087
"Blue Ribbon Fried Chicken","American",11.59,4,"Wed",1,96,"Upper East Side","East Side",49,"High",3.822258896346639
"TAO","Japanese",9.56,3,"Sat",4,49,"Chelsea","West Side",38,"Mid",3.0520223488642397
"Song Thai Restaurant & Bar","Thai",24.2,4.2,"Sun",1,2,"Upper East Side","East Side",47,"Low",3.969217970196335
"Sushi of Gari","Japanese",29.34,4.1,"Thu",3,16,"Upper West Side","West Side",57,"Low",4.235464403316908
"The Meatball Shop","Italian",11.16,3,"Fri",8,132,"Upper West Side","West Side",50,"Very High",3.2854003226052373
"Shake Shack","American",24.25,4,"Thu",1,219,"Chelsea","West Side",56,"Very High",4.1539561164369205
"Blue Ribbon Sushi","Japanese",29.2,3.8,"Sat",1,119,"Upper West Side","West Side",47,"High",3.8336094204394358
"Shake Shack","American",14.07,3.3,"Sun",1,219,"Upper West Side","West Side",53,"Very High",3.366764466305287
"Parm","Italian",19.35,4,"Sat",2,68,"Gramercy","East Side",54,"High",3.846414186196032
"RedFarm Hudson","Chinese",16.1,3.6,"Sat",1,55,"Harlem","Upper Manhattan",52,"Mid",3.5049145777803643
"Shake Shack","American",22.8,3.7,"Sun",1,219,"Upper East Side","East Side",49,"Very High",3.694167882598549
"Blue Ribbon Sushi Bar & Grill","Japanese",15.23,3.6,"Sat",1,44,"Upper East Side","East Side",49,"Mid",3.49471105876185
"Five Guys Burgers and Fries","American",33.03,4.1,"Sat",1,29,"Chelsea","West Side",54,"Mid",4.190610822412379
"Shake Shack","American",12.95,3.3,"Sun",1,219,"Lower East Side","South Manhattan",45,"Very High",3.2032383118501477
"Shake Shack","American",16.49,3.4,"Sun",5,219,"Chinatown","South Manhattan",54,"Very High",3.259937101243923
"Benihana","Japanese",29.05,3.6,"Sun",6,5,"Upper West Side","West Side",51,"Low",3.676740027281916
"RedFarm Broadway","Chinese",31.33,4.2,"Sat",2,59,"Upper West Side","West Side",56,"Mid",4.201683386750765
"TAO","Japanese",16.01,3.2,"Sat",2,49,"Morningside Heights","Upper Manhattan",42,"Mid",3.2048112273322387
"Tamarind TriBeCa","Indian",14.07,3.6,"Sun",3,27,"SoHo","South Manhattan",47,"Mid",3.3739263223765437
"Sushi of Gari 46","Japanese",8.83,3.7,"Tue",1,37,"Upper West Side","West Side",64,"Mid",3.614121786659456
"The Kati Roll Company","Indian",33.03,4.3,"Sun",1,16,"Chelsea","West Side",56,"Low",4.17610298484427
"Shake Shack","American",16.25,3.6,"Thu",3,219,"Harlem","Upper Manhattan",54,"Very High",3.5739384716796407
"The Meatball Shop","Italian",22.36,3.6,"Sun",2,132,"Chelsea","West Side",46,"Very High",3.6791305475541862
"Rubirosa","Italian",8,3.6,"Thu",5,37,"Greenwich Village","South Manhattan",56,"Mid",3.596102813710115
"Blue Ribbon Sushi","Japanese",16.01,3.3,"Sun",3,119,"Hell's Kitchen","West Side",51,"High",3.297039729961638
"RedFarm Broadway","Chinese",16.01,3.7,"Tue",6,59,"East Harlem","Upper Manhattan",50,"Mid",3.569676878854445
"Five Leaves","American",10.24,3.2,"Thu",2,4,"Midtown","Midtown",47,"Low",3.4239930148972557
"Otto Enoteca Pizzeria","Italian",19.4,3.8,"Fri",2,12,"Upper East Side","East Side",60,"Low",3.973298940379732
"Pinto Nouveau Thai Bistro","Thai",19.35,4.1,"Sat",4,4,"Chelsea","West Side",58,"Low",3.8827995859485274
"Barbounia","Mediterranean",13.97,3.8,"Sat",1,6,"Hell's Kitchen","West Side",54,"Low",3.6199710970552843
"Five Guys Burgers and Fries","American",13.05,3.4,"Sun",2,29,"Upper West Side","West Side",61,"Mid",3.4670169028531705
"RedFarm Broadway","Chinese",8.49,3.2,"Sun",2,59,"Kips Bay","East Side",40,"Mid",3.2591969308580198
"Parm","Italian",22.8,4.5,"Tue",3,68,"East Village","South Manhattan",66,"High",4.122023143506409
"Barbounia","Mediterranean",20.18,4,"Sat",3,6,"Little Italy","South Manhattan",48,"Low",3.748270346507158
"RedFarm Broadway","Chinese",19.59,3.3,"Sun",1,59,"Flatiron District","Midtown",43,"Mid",3.5072182746333493
"Dirty Bird to Go","American",19.4,3.4,"Sat",1,4,"Harlem","Upper Manhattan",44,"Low",3.4067831457990847
"The Meatball Shop","Italian",17.03,4,"Thu",1,132,"Chinatown","South Manhattan",51,"Very High",3.8360132630387036
"Amy Ruth's","Southern",16.11,4,"Sun",2,3,"Upper East Side","East Side",56,"Low",3.8128411903779007
"Pepe Giallo","Italian",14.6,3.8,"Thu",1,1,"Harlem","Upper Manhattan",56,"Low",3.713544098657414
"TAO","Japanese",12.27,3.6,"Tue",1,49,"Harlem","Upper Manhattan",55,"Mid",3.420732685347608
"indikitch","Indian",22.26,4.1,"Sat",1,4,"East Village","South Manhattan",51,"Low",3.7199713416801723
"The Meatball Shop","Italian",6.79,3.1,"Sun",2,132,"Hell's Kitchen","West Side",41,"Very High",3.043857146225092
"Han Dynasty","Chinese",14.12,3.3,"Sat",6,46,"Midtown","Midtown",54,"Mid",3.3565899722822254
"The Meatball Shop","Italian",29.15,4.2,"Sat",3,132,"East Village","South Manhattan",54,"Very High",3.956209920689745
"Prosperity Dumpling","Chinese",12.18,3.5,"Thu",1,3,"Midtown","Midtown",50,"Low",3.7092399270322014
"Chipotle Mexican Grill","Mexican",25.22,3.7,"Sat",1,23,"Upper West Side","West Side",49,"Mid",3.7874663031109135
"Shake Shack","American",13.39,3.2,"Sun",1,219,"East Harlem","Upper Manhattan",52,"Very High",3.171865603041507
"Blue Ribbon Fried Chicken","American",9.02,3.3,"Sat",1,96,"East Village","South Manhattan",46,"High",3.2015640636394753
"Sushi of Gari","Japanese",29.15,4,"Sat",1,16,"Chelsea","West Side",58,"Low",4.048332834808261
"Yama 49","Japanese",13,2.9,"Fri",2,5,"Midtown","Midtown",56,"Low",3.3269394535553927
"Blue Ribbon Fried Chicken","American",15.33,4,"Wed",1,96,"Hell's Kitchen","West Side",53,"High",3.889125583037969
"Yama Japanese Restaurant","Japanese",14.55,3.4,"Sat",3,18,"East Village","South Manhattan",48,"Low",3.269904230565908
"Momoya","Japanese",31.43,3.8,"Sun",3,30,"Upper East Side","East Side",41,"Mid",3.79310059725753
"Five Guys Burgers and Fries","American",33.03,3.6,"Sun",8,29,"Hell's Kitchen","West Side",44,"Mid",3.730357732399354
"Piccolo Angolo","Italian",15.91,3.7,"Sun",1,2,"Upper East Side","East Side",52,"Low",3.6118785501005695
"Momoya","Japanese",12.18,3.3,"Sat",2,30,"Chelsea","West Side",52,"Mid",3.3509566835716305
"Shake Shack","American",19.35,3.4,"Mon",2,219,"Upper West Side","West Side",68,"Very High",3.913311533997501
"RedFarm Broadway","Chinese",19.35,3.9,"Sat",3,59,"Upper East Side","East Side",52,"Mid",3.816959377392564
"Hill Country Fried Chicken","Southern",29.35,4.2,"Sun",1,14,"Upper West Side","West Side",50,"Low",4.137308619653327
"Shake Shack","American",15.28,3.3,"Fri",1,219,"Chelsea","West Side",59,"Very High",3.671745513988425
"Pepe Rosso To Go","Italian",12.23,3,"Fri",3,7,"Flatiron District","Midtown",48,"Low",3.335486111483522
"Shake Shack","American",9.6,4,"Wed",1,219,"Chelsea","West Side",63,"Very High",3.8286729003411484
"Han Dynasty","Chinese",12.95,3.3,"Sat",5,46,"Chelsea","West Side",45,"Mid",3.4143326890392243
"Shake Shack","American",8.88,3.4,"Sat",1,219,"Little Italy","South Manhattan",50,"Very High",3.2706253205629143
"Shake Shack","American",15.96,3.3,"Sun",1,219,"Harlem","Upper Manhattan",51,"Very High",3.216441551861726
"Jack's Wife Freda","Mediterranean",15.47,3.8,"Sun",1,25,"East Village","South Manhattan",49,"Mid",3.481362031310023
"Five Guys Burgers and Fries","American",12.23,3.1,"Sun",1,29,"Upper West Side","West Side",44,"Mid",3.265920681050807
"Shake Shack","American",8.05,3.7,"Tue",1,219,"East Village","South Manhattan",52,"Very High",3.4104729118677337
"Momoya","Japanese",8.54,3.7,"Wed",2,30,"Harlem","Upper Manhattan",57,"Mid",3.4273382808428314
"Nobu Next Door","Japanese",29.15,4.3,"Tue",1,42,"East Village","South Manhattan",53,"Mid",4.092747628158334
"Han Dynasty","Chinese",7.23,3.3,"Sat",2,46,"Kips Bay","East Side",39,"Mid",3.2725578494643957
"L'Express","French",19.69,3.2,"Sun",2,6,"Upper West Side","West Side",43,"Low",3.71707625348776
"Parm","Italian",12.13,3.6,"Sun",2,68,"Lower East Side","South Manhattan",56,"High",3.3947132740418953
"Bareburger","American",16.49,3.1,"Mon",2,27,"East Harlem","Upper Manhattan",58,"Mid",3.580732505506127
"Mission Cantina","Mexican",12.08,3.4,"Sat",2,5,"Gramercy","East Side",48,"Low",3.4371113635147963
"5 Napkin Burger","American",9.27,3.5,"Sat",1,5,"Upper West Side","West Side",64,"Low",3.4851854182571005
"Han Dynasty","Chinese",24.25,3.9,"Sat",1,46,"Harlem","Upper Manhattan",59,"Mid",3.8373453273299423
"Han Dynasty","Chinese",5.67,4,"Wed",1,46,"Upper East Side","East Side",52,"Mid",3.7875575028501354
"Blue Ribbon Sushi Bar & Grill","Japanese",14.12,3.2,"Sun",2,44,"Little Italy","South Manhattan",45,"Mid",3.256376938597808
"Han Dynasty","Chinese",33.03,3.8,"Mon",4,46,"Inwood","Upper Manhattan",64,"Mid",4.281055492901272
"Han Dynasty","Chinese",8.97,3.4,"Sat",1,46,"Chelsea","West Side",52,"Mid",3.483658435148706
"Amma","Indian",8.88,3.9,"Tue",3,4,"East Village","South Manhattan",51,"Low",3.4388643476107976
"Blue Ribbon Sushi Izakaya","Japanese",12.13,3.8,"Wed",4,29,"Harlem","Upper Manhattan",59,"Mid",3.553004159085416
"Delicatessen","American",11.64,3,"Sun",5,5,"Midtown","Midtown",54,"Low",3.087810354619734
"Sushi of Gari 46","Japanese",31.43,4.1,"Sat",1,37,"Chelsea","West Side",58,"Mid",4.110454863557931
"Blue Ribbon Sushi Bar & Grill","Japanese",13.15,3.2,"Sun",2,44,"Midtown","Midtown",60,"Mid",3.2373939767925464
"Blue Ribbon Fried Chicken","American",14.02,3.6,"Sat",1,96,"Upper East Side","East Side",48,"High",3.5199356395608907
"Sarabeth's East","American",9.41,3.2,"Sat",5,7,"Upper East Side","East Side",41,"Low",3.177759501959236
"Osteria Morini","Italian",9.07,3.2,"Sun",2,14,"Harlem","Upper Manhattan",49,"Low",3.058779594912885
"Rubirosa","Italian",14.07,3.6,"Sat",1,37,"Hell's Kitchen","West Side",51,"Mid",3.5088852706919402
"S'MAC","American",14.46,3.5,"Sat",1,12,"Chelsea","West Side",51,"Low",3.507265398928677
"Vanessa's Dumplings","Chinese",6.7,2.8,"Sun",2,13,"Midtown","Midtown",37,"Low",2.943306717628908
"Blue Ribbon Sushi Izakaya","Japanese",14.07,2.9,"Fri",1,29,"Midtown","Midtown",50,"Mid",3.359761979915304
"Tamarind TriBeCa","Indian",19.45,3.8,"Sat",1,27,"East Harlem","Upper Manhattan",48,"Mid",3.5098132506843016
"Cafe Habana","Mexican",13.97,3.6,"Thu",1,16,"Morningside Heights","Upper Manhattan",62,"Low",3.769499582000868
"Sushi of Gari 46","Japanese",12.22,3.3,"Sat",3,37,"East Village","South Manhattan",44,"Mid",3.1638110232873338
"Bhatti Indian Grill","Indian",29.25,4,"Sun",3,2,"Kips Bay","East Side",36,"Low",3.7508349899461138
"Cafeteria","American",17.03,3.6,"Sat",2,9,"Hell's Kitchen","West Side",54,"Low",3.568598135600072
"Taro Sushi","Japanese",16.05,3.3,"Fri",1,1,"Harlem","Upper Manhattan",67,"Low",3.523813681557304
"Yama Japanese Restaurant","Japanese",17.08,3.3,"Sun",3,18,"Chinatown","South Manhattan",43,"Low",3.1799482241827213
"Blue Ribbon Sushi","Japanese",11.3,2.9,"Mon",1,119,"West Village","South Manhattan",48,"High",3.3274370614856243
"Delicatessen","American",32.98,3.8,"Sun",3,5,"Inwood","Upper Manhattan",50,"Low",3.7768055599200614
